emoji,fr_signification,unicode,en_signification
🇨🇫, drapeau pour Central République d'Afrique ,\U0001f1e8\U0001f1eb,flag for Central African Republic
🇪🇦, drapeau pour Ceuta et Melilla ,\U0001f1ea\U0001f1e6,flag for Ceuta & Melilla
🇹🇩, drapeau du Tchad ,\U0001f1f9\U0001f1e9,flag for Chad
🇨🇱, drapeau du Chili ,\U0001f1e8\U0001f1f1,flag for Chile
🇨🇳, drapeau pour la Chine ,\U0001f1e8\U0001f1f3,flag for China
🇨🇽, drapeau pour l'île Christmas ,\U0001f1e8\U0001f1fd,flag for Christmas Island
🎄, arbre de Noël ,\U0001f384,christmas tree
🇨🇵, drapeau pour l'île de Clipperton ,\U0001f1e8\U0001f1f5,flag for Clipperton Island
🇨🇨, drapeau pour Îles Cocos ,\U0001f1e8\U0001f1e8,flag for Cocos  Islands
🇨🇴, drapeau de la Colombie ,\U0001f1e8\U0001f1f4,flag for Colombia
🇰🇲, drapeau pour les Comores ,\U0001f1f0\U0001f1f2,flag for Comoros
🇨🇬, drapeau pour le Congo Brazzaville ,\U0001f1e8\U0001f1ec,flag for Congo    Brazzaville
🇨🇩, drapeau pour le Congo Kinshasa ,\U0001f1e8\U0001f1e9,flag for Congo    Kinshasa
🇨🇰, drapeau pour les Îles Cook ,\U0001f1e8\U0001f1f0,flag for Cook Islands
🇨🇷, drapeau du Costa Rica ,\U0001f1e8\U0001f1f7,flag for Costa Rica
🇭🇷, drapeau pour la Croatie ,\U0001f1ed\U0001f1f7,flag for Croatia
🇨🇺, drapeau pour Cuba ,\U0001f1e8\U0001f1fa,flag for Cuba
🇨🇼, drapeau pour Curaçao ,\U0001f1e8\U0001f1fc,flag for Curaçao
🇨🇾, drapeau pour Chypre ,\U0001f1e8\U0001f1fe,flag for Cyprus
🇨🇿, drapeau pour la République tchèque ,\U0001f1e8\U0001f1ff,flag for Czech Republic
🇨🇮, drapeau pour la Côte d'Ivoire ,\U0001f1e8\U0001f1ee,flag for Côte d’Ivoire
🇩🇰, drapeau pour le Danemark ,\U0001f1e9\U0001f1f0,flag for Denmark
🇩🇬, drapeau pour Diego Garcia ,\U0001f1e9\U0001f1ec,flag for Diego Garcia
🇩🇯, drapeau pour Djibouti ,\U0001f1e9\U0001f1ef,flag for Djibouti
🇩🇲, drapeau pour Dominique ,\U0001f1e9\U0001f1f2,flag for Dominica
🇩🇴, drapeau pour la République dominicaine ,\U0001f1e9\U0001f1f4,flag for Dominican Republic
🔚, fin ,\U0001f51a,end
🇪🇨, drapeau pour l'Equateur ,\U0001f1ea\U0001f1e8,flag for Ecuador
🇪🇬, drapeau pour l'Egypte ,\U0001f1ea\U0001f1ec,flag for Egypt
🇸🇻, drapeau pour El Salvador ,\U0001f1f8\U0001f1fb,flag for El Salvador
🏴󠁧󠁢󠁥󠁮󠁧󠁿, Angleterre ,\U0001f3f4\U000e0067\U000e0062\U000e0065\U000e006e\U000e0067\U000e007f,England
🇬🇶, drapeau pour la Guinée équatoriale ,\U0001f1ec\U0001f1f6,flag for Equatorial Guinea
🇪🇷, drapeau pour l'Erythrée ,\U0001f1ea\U0001f1f7,flag for Eritrea
🇪🇪, drapeau pour l'Estonie ,\U0001f1ea\U0001f1ea,flag for Estonia
🇪🇹, drapeau pour l'Ethiopie ,\U0001f1ea\U0001f1f9,flag for Ethiopia
🇪🇺, drapeau pour l'Union européenne ,\U0001f1ea\U0001f1fa,flag for European Union
🆓, gratuit ,\U0001f193,free
🇫🇰, drapeau pour Îles Falkland ,\U0001f1eb\U0001f1f0,flag for Falkland Islands
🇫🇴, drapeau pour Îles Féroé ,\U0001f1eb\U0001f1f4,flag for Faroe Islands
🇫🇯, drapeau pour Fidji ,\U0001f1eb\U0001f1ef,flag for Fiji
🇫🇮, drapeau pour la Finlande ,\U0001f1eb\U0001f1ee,flag for Finland
🇫🇷, drapeau pour la France ,\U0001f1eb\U0001f1f7,flag for France
🇬🇫, drapeau pour Guyane française ,\U0001f1ec\U0001f1eb,flag for French Guiana
🇵🇫, drapeau pour la Polynésie française ,\U0001f1f5\U0001f1eb,flag for French Polynesia
🇹🇫, drapeau pour TAAF ,\U0001f1f9\U0001f1eb,flag for French Southern Territories
🇬🇦, drapeau pour le Gabon ,\U0001f1ec\U0001f1e6,flag for Gabon
🇬🇲, drapeau pour la Gambie ,\U0001f1ec\U0001f1f2,flag for Gambia
♊, gemini ,\u264a,gemini
🇬🇪, drapeau pour la Géorgie ,\U0001f1ec\U0001f1ea,flag for Georgia
🇩🇪, drapeau pour l'Allemagne ,\U0001f1e9\U0001f1ea,flag for Germany
🇬🇭, drapeau du Ghana ,\U0001f1ec\U0001f1ed,flag for Ghana
🇬🇮, drapeau pour Gibraltar ,\U0001f1ec\U0001f1ee,flag for Gibraltar
🇬🇷, drapeau pour Gre ece ,\U0001f1ec\U0001f1f7,flag for Greece
🇬🇱, drapeau pour le Groenland ,\U0001f1ec\U0001f1f1,flag for Greenland
🇬🇩, drapeau pour la Grenade ,\U0001f1ec\U0001f1e9,flag for Grenada
🇬🇵, drapeau pour la Guadeloupe ,\U0001f1ec\U0001f1f5,flag for Guadeloupe
🇬🇺, drapeau pour Guam ,\U0001f1ec\U0001f1fa,flag for Guam
🇬🇹, drapeau pour le Guatemala ,\U0001f1ec\U0001f1f9,flag for Guatemala
🇬🇬, drapeau pour Guernesey ,\U0001f1ec\U0001f1ec,flag for Guernsey
🇬🇳, drapeau pour la Guinée ,\U0001f1ec\U0001f1f3,flag for Guinea
🇬🇼, drapeau pour la Guinée Bissau ,\U0001f1ec\U0001f1fc,flag for Guinea  Bissau
🇬🇾, drapeau pour le Guyana ,\U0001f1ec\U0001f1fe,flag for Guyana
🇭🇹, drapeau pour Haïti ,\U0001f1ed\U0001f1f9,flag for Haiti
🇭🇲, drapeau pour les îles Heard et McDonald ,\U0001f1ed\U0001f1f2,flag for Heard & McDonald Islands
🇭🇳, drapeau pour le Honduras ,\U0001f1ed\U0001f1f3,flag for Honduras
🇭🇰, drapeau pour Hong Kong ,\U0001f1ed\U0001f1f0,flag for Hong Kong
🇭🇺, drapeau pour la Hongrie ,\U0001f1ed\U0001f1fa,flag for Hungary
🆔, id ,\U0001f194,id
🇮🇸, drapeau pour l'Islande ,\U0001f1ee\U0001f1f8,flag for Iceland
🇮🇳, drapeau pour l'Inde ,\U0001f1ee\U0001f1f3,flag for India
🇮🇩, drapeau pour l'Indonésie ,\U0001f1ee\U0001f1e9,flag for Indonesia
🇮🇷, drapeau pour l'Iran ,\U0001f1ee\U0001f1f7,flag for Iran
🇮🇶, drapeau pour l'Irak ,\U0001f1ee\U0001f1f6,flag for Iraq
🇮🇪, drapeau pour l'Irlande ,\U0001f1ee\U0001f1ea,flag for Ireland
🇮🇲, drapeau pour Isle of Man ,\U0001f1ee\U0001f1f2,flag for Isle of Man
🇮🇱, drapeau pour Israël ,\U0001f1ee\U0001f1f1,flag for Israel
🇮🇹, drapeau pour l'Italie ,\U0001f1ee\U0001f1f9,flag for Italy
🇯🇲, drapeau de la Jamaïque ,\U0001f1ef\U0001f1f2,flag for Jamaica
🇯🇵, drapeau pour le Japon ,\U0001f1ef\U0001f1f5,flag for Japan
🉑, accepter ,\U0001f251,accept
🈸, u7533 ,\U0001f238,u7533
🉐, idéogramme avantage ,\U0001f250,ideograph advantage
🏯, château japonais ,\U0001f3ef,japanese castle
㊗, félicitations ,\u3297,congratulations
🈹, u5272 ,\U0001f239,u5272
🎎, poupées ,\U0001f38e,dolls
🈚, u7121 ,\U0001f21a,u7121
🈁, koko ,\U0001f201,koko
🈷, u6708 ,\U0001f237,u6708
🈵, u6e80 ,\U0001f235,u6e80
🈶, u6709 ,\U0001f236,u6709
🈺, u55b6 ,\U0001f23a,u55b6
🈴, u5408 ,\U0001f234,u5408
🏣, bureau de poste ,\U0001f3e3,post office
🈲, u7981 ,\U0001f232,u7981
🈯, u6307 ,\U0001f22f,u6307
㊙, secrets ,\u3299,secret
🈂, sa ,\U0001f202,sa
🔰, débutant ,\U0001f530,beginner
🈳, u7a7a ,\U0001f233,u7a7a
🇯🇪, drapeau pour Jersey ,\U0001f1ef\U0001f1ea,flag for Jersey
🇯🇴, drapeau de la Jordanie ,\U0001f1ef\U0001f1f4,flag for Jordan
🇰🇿, drapeau pour le Kazakhstan ,\U0001f1f0\U0001f1ff,flag for Kazakhstan
🇰🇪, drapeau pour le Kenya ,\U0001f1f0\U0001f1ea,flag for Kenya
🇰🇮, drapeau pour Kiribati ,\U0001f1f0\U0001f1ee,flag for Kiribati
🇽🇰, drapeau pour le Kosovo ,\U0001f1fd\U0001f1f0,flag for Kosovo
🇰🇼, drapeau pour le Koweït ,\U0001f1f0\U0001f1fc,flag for Kuwait
🇰🇬, drapeau pour le Kirghizistan ,\U0001f1f0\U0001f1ec,flag for Kyrgyzstan
🇱🇦, drapeau pour le Laos ,\U0001f1f1\U0001f1e6,flag for Laos
🇱🇻, drapeau pour la Lettonie ,\U0001f1f1\U0001f1fb,flag for Latvia
🇱🇧, drapeau pour le Liban ,\U0001f1f1\U0001f1e7,flag for Lebanon
♌, leo ,\u264c,leo
🇱🇸, drapeau pour le Lesotho ,\U0001f1f1\U0001f1f8,flag for Lesotho
🇱🇷, drapeau pour le Libéria ,\U0001f1f1\U0001f1f7,flag for Liberia
♎, libra ,\u264e,libra
🇱🇾, drapeau Libye ,\U0001f1f1\U0001f1fe,flag for Libya
🇱🇮, drapeau pour le Liechtenstein ,\U0001f1f1\U0001f1ee,flag for Liechtenstein
🇱🇹, drapeau pour la Lituanie ,\U0001f1f1\U0001f1f9,flag for Lithuania
🇱🇺, drapeau pour Luxembourg ,\U0001f1f1\U0001f1fa,flag for Luxembourg
🇲🇴, drapeau pour Macao ,\U0001f1f2\U0001f1f4,flag for Macau
🇲🇰, drapeau pour la Macédoine ,\U0001f1f2\U0001f1f0,flag for Macedonia
🇲🇬, drapeau pour Madagascar ,\U0001f1f2\U0001f1ec,flag for Madagascar
🇲🇼, drapeau pour le Malawi ,\U0001f1f2\U0001f1fc,flag for Malawi
🇲🇾, drapeau Malaisie ,\U0001f1f2\U0001f1fe,flag for Malaysia
🇲🇻, drapeau Maldives ,\U0001f1f2\U0001f1fb,flag for Maldives
🇲🇱, drapeau du Mali ,\U0001f1f2\U0001f1f1,flag for Mali
🇲🇹, drapeau pour Malte ,\U0001f1f2\U0001f1f9,flag for Malta
🇲🇭, drapeau pour Îles Marshall ,\U0001f1f2\U0001f1ed,flag for Marshall Islands
🇲🇶, drapeau pour Martinique ,\U0001f1f2\U0001f1f6,flag for Martinique
🇲🇷, drapeau pour la Mauritanie ,\U0001f1f2\U0001f1f7,flag for Mauritania
🇲🇺, drapeau pour Maurice ,\U0001f1f2\U0001f1fa,flag for Mauritius
🇾🇹, drapeau pour Mayotte ,\U0001f1fe\U0001f1f9,flag for Mayotte
🇲🇽, drapeau pour le Mexique ,\U0001f1f2\U0001f1fd,flag for Mexico
🇫🇲, drapeau pour Micronésie ,\U0001f1eb\U0001f1f2,flag for Micronesia
🇲🇩, drapeau pour la Moldavie ,\U0001f1f2\U0001f1e9,flag for Moldova
🇲🇨, drapeau pour Monaco ,\U0001f1f2\U0001f1e8,flag for Monaco
🇲🇳, drapeau pour la Mongolie ,\U0001f1f2\U0001f1f3,flag for Mongolia
🇲🇪, drapeau pour le Monténégro ,\U0001f1f2\U0001f1ea,flag for Montenegro
🇲🇸, drapeau pour Montserrat ,\U0001f1f2\U0001f1f8,flag for Montserrat
🇲🇦, drapeau pour le Maroc ,\U0001f1f2\U0001f1e6,flag for Morocco
🇲🇿, drapeau pour le Mozambique ,\U0001f1f2\U0001f1ff,flag for Mozambique
🤶, Mme. Claus ,\U0001f936,Mrs. Claus
🤶🏿, Mrs. Claus teint foncé ,\U0001f936\U0001f3ff,Mrs. Claus dark skin tone
🤶🏻, Mrs. Claus teint lumière ,\U0001f936\U0001f3fb,Mrs. Claus light skin tone
🤶🏾, Mrs. Claus teint moyen foncé ,\U0001f936\U0001f3fe,Mrs. Claus medium-dark skin tone
🤶🏼, Mrs. Claus teint moyen lumière ,\U0001f936\U0001f3fc,Mrs. Claus medium-light skin tone
🤶🏽, Mme. carnation moyenne Claus ,\U0001f936\U0001f3fd,Mrs. Claus medium skin tone
🇲🇲, drapeau pour le Myanmar ,\U0001f1f2\U0001f1f2,flag for Myanmar
🆕, nouveau ,\U0001f195,new
🆖, ng ,\U0001f196,ng
🇳🇦, drapeau pour la Namibie ,\U0001f1f3\U0001f1e6,flag for Namibia
🇳🇷, drapeau pour Nauru ,\U0001f1f3\U0001f1f7,flag for Nauru
🇳🇵, drapeau pour le Népal ,\U0001f1f3\U0001f1f5,flag for Nepal
🇳🇱, drapeau pour Pays-Bas ,\U0001f1f3\U0001f1f1,flag for Netherlands
🇳🇨, drapeau pour Nouvelle-Calédonie ,\U0001f1f3\U0001f1e8,flag for New Caledonia
🇳🇿, drapeau pour la Nouvelle-Zélande ,\U0001f1f3\U0001f1ff,flag for New Zealand
🇳🇮, drapeau du Nicaragua ,\U0001f1f3\U0001f1ee,flag for Nicaragua
🇳🇪, drapeau pour le Niger ,\U0001f1f3\U0001f1ea,flag for Niger
🇳🇬, drapeau pour le Nigeria ,\U0001f1f3\U0001f1ec,flag for Nigeria
🇳🇺, drapeau pour Niue ,\U0001f1f3\U0001f1fa,flag for Niue
🇳🇫, drapeau Île Norfolk ,\U0001f1f3\U0001f1eb,flag for Norfolk Island
🇰🇵, drapeau pour la Corée du Nord ,\U0001f1f0\U0001f1f5,flag for North Korea
🇲🇵, drapeau pour Îles Mariannes du Nord ,\U0001f1f2\U0001f1f5,flag for Northern Mariana Islands
🇳🇴, drapeau de la Norvège ,\U0001f1f3\U0001f1f4,flag for Norway
🆗, ok ,\U0001f197,ok
👌, main ok ,\U0001f44c,ok hand
👌🏿, OK main teint foncé ,\U0001f44c\U0001f3ff,OK hand dark skin tone
👌🏻, main OK teint clair ,\U0001f44c\U0001f3fb,OK hand light skin tone
👌🏾, OK teint moyen foncé main ,\U0001f44c\U0001f3fe,OK hand medium-dark skin tone
👌🏼, OK main teint moyen-lumière ,\U0001f44c\U0001f3fc,OK hand medium-light skin tone
👌🏽, teint moyen de la main OK ,\U0001f44c\U0001f3fd,OK hand medium skin tone
🔛, sur ,\U0001f51b,on
🅾, o2 ,\U0001f17e,o2
🇴🇲, drapeau pour Oman ,\U0001f1f4\U0001f1f2,flag for Oman
⛎, Ophiuchus ,\u26ce,ophiuchus
🅿, parking ,\U0001f17f,parking
🇵🇰, drapeau pour le Pakistan ,\U0001f1f5\U0001f1f0,flag for Pakistan
🇵🇼, drapeau pour Palau ,\U0001f1f5\U0001f1fc,flag for Palau
🇵🇸, drapeau pour les Territoires palestiniens ,\U0001f1f5\U0001f1f8,flag for Palestinian Territories
🇵🇦, drapeau pour le Panama ,\U0001f1f5\U0001f1e6,flag for Panama
🇵🇬, drapeau de la Papouasie-Nouvelle-Guinée ,\U0001f1f5\U0001f1ec,flag for Papua New Guinea
🇵🇾, drapeau pour le Paraguay ,\U0001f1f5\U0001f1fe,flag for Paraguay
🇵🇪, drapeau du Pérou ,\U0001f1f5\U0001f1ea,flag for Peru
🇵🇭, drapeau pour Philippines ,\U0001f1f5\U0001f1ed,flag for Philippines
♓, Pisces ,\u2653,pisces
🇵🇳, drapeau pour Pitcairn ,\U0001f1f5\U0001f1f3,flag for Pitcairn Islands
🇵🇱, drapeau pour la Pologne ,\U0001f1f5\U0001f1f1,flag for Poland
🇵🇹, drapeau pour le Portugal ,\U0001f1f5\U0001f1f9,flag for Portugal
🇵🇷, drapeau pour Porto Rico ,\U0001f1f5\U0001f1f7,flag for Puerto Rico
🇶🇦, drapeau pour le Qatar ,\U0001f1f6\U0001f1e6,flag for Qatar
🇷🇴, drapeau pour la Roumanie ,\U0001f1f7\U0001f1f4,flag for Romania
🇷🇺, drapeau pour la Russie ,\U0001f1f7\U0001f1fa,flag for Russia
🇷🇼, drapeau pour le Rwanda ,\U0001f1f7\U0001f1fc,flag for Rwanda
🇷🇪, drapeau pour la Réunion ,\U0001f1f7\U0001f1ea,flag for Réunion
🔜, bientôt ,\U0001f51c,soon
🆘, sos ,\U0001f198,sos
♐, sagittaire ,\u2650,sagittarius
🇼🇸, drapeau pour Samoa ,\U0001f1fc\U0001f1f8,flag for Samoa
🇸🇲, drapeau pour Saint-Marin ,\U0001f1f8\U0001f1f2,flag for San Marino
🎅, père noël ,\U0001f385,santa
🎅🏿, Père Noël teint foncé ,\U0001f385\U0001f3ff,Santa Claus dark skin tone
🎅🏻, Père Noël teint clair ,\U0001f385\U0001f3fb,Santa Claus light skin tone
🎅🏾, peau de Santa Claus moyenne noir ton ,\U0001f385\U0001f3fe,Santa Claus medium-dark skin tone
🎅🏼, Père Noël moyen carnation -light ,\U0001f385\U0001f3fc,Santa Claus medium-light skin tone
🎅🏽, Père Noël teint moyen ,\U0001f385\U0001f3fd,Santa Claus medium skin tone
🇸🇦, drapeau de l'Arabie Saoudite ,\U0001f1f8\U0001f1e6,flag for Saudi Arabia
♏, Scorpius ,\u264f,scorpius
🏴󠁧󠁢󠁳󠁣󠁴󠁿, Ecosse ,\U0001f3f4\U000e0067\U000e0062\U000e0073\U000e0063\U000e0074\U000e007f,Scotland
🇸🇳, drapeau pour le Sénégal ,\U0001f1f8\U0001f1f3,flag for Senegal
🇷🇸, drapeau de la Serbie ,\U0001f1f7\U0001f1f8,flag for Serbia
🇸🇨, drapeau pour les Seychelles ,\U0001f1f8\U0001f1e8,flag for Seychelles
🇸🇱, drapeau pour la Sierra Leone ,\U0001f1f8\U0001f1f1,flag for Sierra Leone
🇸🇬, drapeau pour Singapour ,\U0001f1f8\U0001f1ec,flag for Singapore
🇸🇽, drapeau pour Sint Maarten ,\U0001f1f8\U0001f1fd,flag for Sint Maarten
🇸🇰, drapeau pour la Slovaquie ,\U0001f1f8\U0001f1f0,flag for Slovakia
🇸🇮, drapeau de la Slovénie ,\U0001f1f8\U0001f1ee,flag for Slovenia
🇸🇧, drapeau pour les Îles Salomon ,\U0001f1f8\U0001f1e7,flag for Solomon Islands
🇸🇴, drapeau pour la Somalie ,\U0001f1f8\U0001f1f4,flag for Somalia
🇿🇦, drapeau pour l'Afrique du Sud ,\U0001f1ff\U0001f1e6,flag for South Africa
🇬🇸, drapeau de la Géorgie du Sud et les îles Sandwich du Sud ,\U0001f1ec\U0001f1f8,flag for South Georgia & South Sandwich Islands
🇰🇷, drapeau pour la Corée du Sud ,\U0001f1f0\U0001f1f7,flag for South Korea
🇸🇸, drapeau du Sud-Soudan ,\U0001f1f8\U0001f1f8,flag for South Sudan
🇪🇸, drapeau pour l'Espagne ,\U0001f1ea\U0001f1f8,flag for Spain
🇱🇰, drapeau pour Sri Lanka ,\U0001f1f1\U0001f1f0,flag for Sri Lanka
🇧🇱, drapeau pour St. Barthélemy ,\U0001f1e7\U0001f1f1,flag for St. Barthélemy
🇸🇭, drapeau pour Sainte-Hélène ,\U0001f1f8\U0001f1ed,flag for St. Helena
🇰🇳, drapeau pour Saint-Kitts-et-Nevis ,\U0001f1f0\U0001f1f3,flag for St. Kitts & Nevis
🇱🇨, drapeau pour Sainte-Lucie ,\U0001f1f1\U0001f1e8,flag for St. Lucia
🇲🇫, drapeau pour Saint-Martin ,\U0001f1f2\U0001f1eb,flag for St. Martin
🇵🇲, drapeau pour Saint-Pierre-et-Miquelon ,\U0001f1f5\U0001f1f2,flag for St. Pierre & Miquelon
🇻🇨, drapeau pour Saint-Vincent-et-Grenadines ,\U0001f1fb\U0001f1e8,flag for St. Vincent & Grenadines
🗽, statue de la liberté ,\U0001f5fd,statue of liberty
🇸🇩, drapeau pour Soudan ,\U0001f1f8\U0001f1e9,flag for Sudan
🇸🇷, drapeau Suriname ,\U0001f1f8\U0001f1f7,flag for Suriname
🇸🇯, drapeau pour Svalbard et Jan Mayen ,\U0001f1f8\U0001f1ef,flag for Svalbard & Jan Mayen
🇸🇿, drapeau pour le Swaziland ,\U0001f1f8\U0001f1ff,flag for Swaziland
🇸🇪, drapeau pour la Suède ,\U0001f1f8\U0001f1ea,flag for Sweden
🇨🇭, drapeau pour la Suisse ,\U0001f1e8\U0001f1ed,flag for Switzerland
🇸🇾, drapeau pour la Syrie ,\U0001f1f8\U0001f1fe,flag for Syria
🇸🇹, drapeau pour São Tomé et Príncipe ,\U0001f1f8\U0001f1f9,flag for São Tomé & Príncipe
🦖, T-Rex ,\U0001f996,T-Rex
🔝, top ,\U0001f51d,top
🇹🇼, drapeau pour Taiwan ,\U0001f1f9\U0001f1fc,flag for Taiwan
🇹🇯, drapeau pour le Tadjikistan ,\U0001f1f9\U0001f1ef,flag for Tajikistan
🇹🇿, drapeau pour la Tanzanie ,\U0001f1f9\U0001f1ff,flag for Tanzania
♉, taurus ,\u2649,taurus
🇹🇭, drapeau pour la Thaïlande ,\U0001f1f9\U0001f1ed,flag for Thailand
🇹🇱, drapeau pour le Timor-Leste ,\U0001f1f9\U0001f1f1,flag for Timor  Leste
🇹🇬, drapeau pour le Togo ,\U0001f1f9\U0001f1ec,flag for Togo
🇹🇰, drapeau pour Tokelau ,\U0001f1f9\U0001f1f0,flag for Tokelau
🗼, tour tokyo ,\U0001f5fc,tokyo tower
🇹🇴, drapeau pour Tonga ,\U0001f1f9\U0001f1f4,flag for Tonga
🇹🇹, drapeau pour Trinité-et-Tobago ,\U0001f1f9\U0001f1f9,flag for Trinidad & Tobago
🇹🇦, drapeau pour Tristan da Cu nha ,\U0001f1f9\U0001f1e6,flag for Tristan da Cunha
🇹🇳, drapeau pour la Tunisie ,\U0001f1f9\U0001f1f3,flag for Tunisia
🇹🇷, drapeau pour la Turquie ,\U0001f1f9\U0001f1f7,flag for Turkey
🇹🇲, drapeau pour le Turkménistan ,\U0001f1f9\U0001f1f2,flag for Turkmenistan
🇹🇨, drapeau pour Îles Turques et Caïques ,\U0001f1f9\U0001f1e8,flag for Turks & Caicos Islands
🇹🇻, drapeau pour Tuvalu ,\U0001f1f9\U0001f1fb,flag for Tuvalu
🇺🇲, drapeau pour Outlying Islands US ,\U0001f1fa\U0001f1f2,flag for U.S. Outlying Islands
🇻🇮, drapeau pour Îles Vierges des États-Unis ,\U0001f1fb\U0001f1ee,flag for U.S. Virgin Islands
🆙, haut ,\U0001f199,up
🇺🇬, drapeau de l'Ouganda ,\U0001f1fa\U0001f1ec,flag for Uganda
🇺🇦, drapeau pour l'Ukraine ,\U0001f1fa\U0001f1e6,flag for Ukraine
🇦🇪, drapeau pour United arabes unis ,\U0001f1e6\U0001f1ea,flag for United Arab Emirates
🇬🇧, drapeau pour Royaume-Uni ,\U0001f1ec\U0001f1e7,flag for United Kingdom
🇺🇳, Nations Unies ,\U0001f1fa\U0001f1f3,United Nations
🇺🇸, drapeau pour États-Unis ,\U0001f1fa\U0001f1f8,flag for United States
🇺🇾, drapeau de l'Uruguay ,\U0001f1fa\U0001f1fe,flag for Uruguay
